0,1,2,3,4,5,6,7,8
False,False,False,256,32,0.1,100,"[0.0005544839659705758, 0.02354748360812664]","[0.0013728191843256354, 0.037051573395729065]"
False,False,False,256,32,0.2,50,"[0.0005813650786876678, 0.024111513048410416]","[0.0015888947527855635, 0.03986094146966934]"
False,False,False,256,64,0.1,50,"[0.0006083400803618133, 0.02466455101966858]","[0.001645601587370038, 0.04056601598858833]"
False,False,False,256,64,0.1,100,"[0.0006119211902841926, 0.02473704144358635]","[0.0015664754901081324, 0.03957872465252876]"
False,False,False,128,32,0.2,100,"[0.0006334849749691784, 0.02516912668943405]","[0.0017367517575621605, 0.041674353182315826]"
False,False,False,128,64,0.2,50,"[0.0006894045509397984, 0.026256514713168144]","[0.0017985309241339564, 0.04240908846259117]"
False,False,False,128,32,0.2,50,"[0.0007139440276660025, 0.026719730347394943]","[0.002063527936115861, 0.04542607069015503]"
False,False,False,128,64,0.1,50,"[0.0007236115052364767, 0.026900028809905052]","[0.0014809638960286975, 0.03848329186439514]"
False,False,False,256,64,0.2,100,"[0.0007441179477609694, 0.02727852575480938]","[0.0017412265297025442, 0.041728004813194275]"
False,False,False,256,32,0.1,50,"[0.0007658974500373006, 0.027674851939082146]","[0.0018812435446307063, 0.04337330535054207]"
False,False,False,128,32,0.1,50,"[0.0007741203880868852, 0.02782301977276802]","[0.0016027989331632853, 0.04003497213125229]"
False,False,False,64,32,0.1,100,"[0.0007809581584297121, 0.02794562838971615]","[0.0022590055596083403, 0.04752899706363678]"
False,False,False,64,32,0.2,100,"[0.0007978759822435677, 0.028246698901057243]","[0.0020483580883592367, 0.045258790254592896]"
False,False,False,64,32,0.2,50,"[0.0008140159770846367, 0.028530964627861977]","[0.0021125676576048136, 0.04596267640590668]"
False,False,False,64,64,0.1,100,"[0.000846981827635318, 0.029102951288223267]","[0.0017671023961156607, 0.04203691706061363]"
False,False,False,128,64,0.1,100,"[0.0008531442726962268, 0.029208634048700333]","[0.0020379899069666862, 0.04514409974217415]"
False,False,False,64,64,0.2,50,"[0.0009426718461327255, 0.03070296160876751]","[0.002012018347159028, 0.04485552757978439]"
False,False,False,256,32,0.2,100,"[0.0009456266416236758, 0.030751042068004608]","[0.0022074657026678324, 0.04698367416858673]"
False,False,False,64,32,0.1,50,"[0.0010575494961813092, 0.03251998871564865]","[0.0021192666608840227, 0.04603549465537071]"
False,False,False,64,64,0.2,100,"[0.001083185663446784, 0.03291178494691849]","[0.002543546026572585, 0.050433579832315445]"
False,False,False,64,64,0.1,50,"[0.0011321894126012921, 0.03364802151918411]","[0.0029630851931869984, 0.05443422868847847]"
False,False,False,128,32,0.1,100,"[0.001199590042233467, 0.03463509678840637]","[0.0013999808579683304, 0.03741631656885147]"
False,False,False,128,64,0.2,100,"[0.0012685691472142935, 0.035616979002952576]","[0.0017789029516279697, 0.04217704385519028]"
False,False,False,256,64,0.2,50,"[0.001390176941640675, 0.037285078316926956]","[0.004105658270418644, 0.06407541036605835]"
